重問番号,問題名,分野,推定リード章,根拠(マッチしたリードα問題・スコア),確信度
62,地球のトンネル,力学,1章・4章・7章・10章,"地球上と月面上での物体の重さを求める｜リードα 第4章 基本問題66【高校物理】(章4, score=0.083); 地球貫通トンネルでの単振動の周期を求める｜リードα 第10章 応用問題210【高校物理】(章10, score=0.078); 斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.06); グラフの空所補充で2物体の相対運動を解く｜リードα 第1章 応用問題19【高校物理】(章1, score=0.059); 糸を離した後の物体の加速度の変化を求める｜リードα 第4章 基本問題80【高校物理】(章4, score=0.059)",低(要確認)
65,水の状態変化,熱,11章,"氷から水蒸気への加熱グラフから熱量を求める｜リードα 第11章 基本問題219【高校物理】(章11, score=0.105); 4つの状態変化での内部エネルギーを解く｜リードα 第11章 基本問題224【高校物理】(章11, score=0.088)",低(要確認)
67,熱気球,熱,12章,"熱気球内の空気温度を浮力のつりあいから求める｜リードα 第12章 応用問題244【高校物理】(章12, score=0.048)",低(要確認)
68,気体の混合,熱,12章・13章,"仕切られた容器内気体の圧力のつりあいを解く｜リードα 第12章 応用問題243【高校物理】(章12, score=0.089); 断熱材で仕切られた2室間の気体の移動距離を求める｜リードα 第13章 応用問題265【高校物理】(章13, score=0.085); 連結容器間で移動した気体の物質量を求める｜リードα 第12章 基本問題240【高校物理】(章12, score=0.071); 断熱容器の2種の気体を混合後の圧力を求める｜リードα 第13章 基本例題45【高校物理】(章13, score=0.071)",低(要確認)
70,気体の状態変化,熱,11章・12章・13章,"4つの状態変化での内部エネルギーを解く｜リードα 第11章 基本問題224【高校物理】(章11, score=0.067); 4通りの状態変化の内部エネルギーと仕事を求める｜リードα 第13章 基本問題255【高校物理】(章13, score=0.062); ピストン内の気体を加熱した体積増加を求める｜リードα 第12章 基本例題43【高校物理】(章12, score=0.048); 湖に沈めたコップ内の空気の体積変化を求める｜リードα 第12章 基本問題234【高校物理】(章12, score=0.048); 直線的なサイクルでの気体の最高温度を求める｜リードα 第13章 応用問題261【高校物理】(章13, score=0.048)",低(要確認)
72,気体の状態変化と熱効率,熱,11章・13章,"サイクルの各過程の仕事と熱効率を求める｜リードα 第13章 基本例題48【高校物理】(章13, score=0.07); 4つの状態変化での内部エネルギーを解く｜リードα 第11章 基本問題224【高校物理】(章11, score=0.069); p-V図から状態変化のV-Tグラフを求める｜リードα 第13章 応用問題262【高校物理】(章13, score=0.067); 4通りの状態変化の内部エネルギーと仕事を求める｜リードα 第13章 基本問題255【高校物理】(章13, score=0.065); 熱効率から熱機関の仕事と放出熱量を求める｜リードα 第11章 基本問題225【高校物理】(章11, score=0.05)",低(要確認)
74,気体の状態変化,熱,11章・13章,"p-V図から状態変化のV-Tグラフを求める｜リードα 第13章 応用問題262【高校物理】(章13, score=0.102); 氷から水への変化グラフから熱量を求める｜リードα 第11章 応用問題229【高校物理】(章11, score=0.088)",低(要確認)
78,正弦波の波形,波動,15章・16章・17章,"波形図と速さから正弦波の式をつくる｜リードα 第15章 基本問題283【高校物理】(章15, score=0.091); 屈折率から媒質中の波の速さを求める｜リードα 第16章 基本問題289【高校物理】(章16, score=0.091); 正弦波の式から特定点の変位を計算する｜リードα 第15章 基本例題53【高校物理】(章15, score=0.071); 正弦波の式から振幅・周期・波長を求める｜リードα 第15章 基本問題281【高校物理】(章15, score=0.069); おんさの振動数から弦の波長と速さを求める｜リードα 第17章 基本例題57【高校物理】(章17, score=0.069)",低(要確認)
79,正弦波の式と定在波,波動,15章,"反射波の合成で定在波の節を文字式で導く｜リードα 第15章 応用問題286【高校物理】(章15, score=0.103)",低(要確認)
80,円形波の反射,波動,16章・18章,"水面波の伝わる速さと観測点の振動数を求める｜リードα 第18章 基本問題317【高校物理】(章18, score=0.074); 水面波干渉で定在波の腹の位置を求める｜リードα 第16章 基本問題288【高校物理】(章16, score=0.058)",低(要確認)
81,平面波の反射・屈折・干渉,波動,15章・16章・19章,"平面波の屈折角と節線の間隔を導出する｜リードα 第16章 応用問題293【高校物理】(章16, score=0.081); 水面波干渉で定在波の腹の位置を求める｜リードα 第16章 基本問題288【高校物理】(章16, score=0.081); 3層の境界面での屈折角と全反射条件を導出する｜リードα 第19章 基本問題332【高校物理】(章19, score=0.076); プリズム内での光の屈折・全反射経路と角度を求める｜リードα 第19章 基本問題331【高校物理】(章19, score=0.074); 反射波の合成で定在波の節を文字式で導く｜リードα 第15章 応用問題286【高校物理】(章15, score=0.063)",低(要確認)
82,水面波の反射と屈折,波動,16章・19章,"3層の境界面での屈折角と全反射条件を導出する｜リードα 第19章 基本問題332【高校物理】(章19, score=0.068); 屈折率から媒質中の波の速さを求める｜リードα 第16章 基本問題289【高校物理】(章16, score=0.055); 平面波の屈折角と節線の間隔を導出する｜リードα 第16章 応用問題293【高校物理】(章16, score=0.054); 水面波干渉で定在波の腹の位置を求める｜リードα 第16章 基本問題288【高校物理】(章16, score=0.054); 境界面に届く波の数から屈折の法則を導く｜リードα 第16章 基本問題290【高校物理】(章16, score=0.053)",低(要確認)
84,弦の振動,波動,17章,"弦の基本振動・2倍振動・3倍振動を作図する｜リードα 第17章 基本問題301【高校物理】(章17, score=0.061); おんさの振動数から弦の波長と速さを求める｜リードα 第17章 基本例題57【高校物理】(章17, score=0.058)",低(要確認)
85,気柱の共鳴,波動,17章,"気柱共鳴の管の長さの差から音速を求める｜リードα 第17章 基本例題58【高校物理】(章17, score=0.109)",低(要確認)
86,反射板がある場合のドップラー効果,波動,18章,"遠ざかる反射板からの反射音とうなりを求める｜リードα 第18章 基本問題320【高校物理】(章18, score=0.115); 観測者や反射板が動く場合のうなりの周期を求める｜リードα 第18章 応用問題324【高校物理】(章18, score=0.109)",低(要確認)
87,斜め方向のドップラー効果,波動,18章,"電車通過時の斜め方向の振動数変化を求める｜リードα 第18章 応用問題325【高校物理】(章18, score=0.068)",低(要確認)
88,エコーロケーションのしくみ,波動,17章,"密度変化グラフから開管の反射位置を求める｜リードα 第17章 基本問題309【高校物理】(章17, score=0.041)",低(要確認)
89,光の屈折,波動,19章,"3層の境界面での屈折角と全反射条件を導出する｜リードα 第19章 基本問題332【高校物理】(章19, score=0.103); プリズム内での光の屈折・全反射経路と角度を求める｜リードα 第19章 基本問題331【高校物理】(章19, score=0.082)",低(要確認)
92,凹面鏡,波動,19章,"凹面鏡・凸面鏡がつくる像を作図で求める｜リードα 第19章 基本問題338【高校物理】(章19, score=0.058); 凹面鏡がつくる実像の位置と大きさの変化を求める｜リードα 第19章 基本例題64【高校物理】(章19, score=0.054); 凹面鏡と凸面鏡それぞれの像の位置と種類を求める｜リードα 第19章 基本問題339【高校物理】(章19, score=0.054); フィゾーの歯車法による光速測定の式を導出する｜リードα 第19章 基本問題327【高校物理】(章19, score=0.054)",低(要確認)
93,ヤングの実験,波動,16章・19章,"フィゾーの歯車法による光速測定の式を導出する｜リードα 第19章 基本問題327【高校物理】(章19, score=0.055); 位相差のある2波源の干渉腹線を求める｜リードα 第16章 応用問題291【高校物理】(章16, score=0.038)",低(要確認)
95,薄膜による光の干渉,波動,19章,"3層の境界面での屈折角と全反射条件を導出する｜リードα 第19章 基本問題332【高校物理】(章19, score=0.066); フィゾーの歯車法による光速測定の式を導出する｜リードα 第19章 基本問題327【高校物理】(章19, score=0.048)",低(要確認)
96,くさび形領域による光の干渉,波動,16章・19章,"フィゾーの歯車法による光速測定の式を導出する｜リードα 第19章 基本問題327【高校物理】(章19, score=0.05); 位相差のある2波源の干渉腹線を求める｜リードα 第16章 応用問題291【高校物理】(章16, score=0.035)",低(要確認)
97,ニュートンリング,波動,19章,"凸レンズと凹レンズを組み合わせた系の像を求める｜リードα 第19章 応用問題344【高校物理】(章19, score=0.055); 凸レンズと凹面鏡が組み合う系で実像を特定する｜リードα 第19章 応用問題345【高校物理】(章19, score=0.054); 凸レンズ通過前後の光の波面の形状を選ぶ｜リードα 第19章 基本問題335【高校物理】(章19, score=0.042); 凸レンズ・凹レンズがつくる像を作図で求める｜リードα 第19章 基本問題334【高校物理】(章19, score=0.042); 空所補充で凸レンズ・凹レンズの像と倍率を求める｜リードα 第19章 基本問題336【高校物理】(章19, score=0.041)",低(要確認)
99,ピンホールカメラによる像のぼやけ幅,波動,19章,"カメラレンズの物体距離と受光面距離の関係を求める｜リードα 第19章 応用問題342【高校物理】(章19, score=0.071)",低(要確認)
100,箔検電器,電磁気,20章・21章,"箔検電器に帯電棒を近づけ指で触れる実験を説明する｜リードα 第21章 基本問題360【高校物理】(章21, score=0.067); マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.053)",低(要確認)
101,帯電した平面による電場,電磁気,21章,"正三角形の頂点の2電荷がつくる電場を図示する｜リードα 第21章 基本問題362【高校物理】(章21, score=0.113); ガウスの法則で平面電荷がつくる電場と電位を導く｜リードα 第21章 基本問題363【高校物理】(章21, score=0.111); 2点電荷による電場を合成し強さと向きを求める｜リードα 第21章 基本例題69【高校物理】(章21, score=0.094); 2点電荷がつくる電場中で電荷を運ぶ仕事を求める｜リードα 第21章 基本問題368【高校物理】(章21, score=0.093); 正負2点電荷がつくる電場が0になる位置を求める｜リードα 第21章 基本問題361【高校物理】(章21, score=0.091)",低(要確認)
104,荷電粒子の運動,電磁気,20章・21章・24章・25章,"磁場内を円運動する電子の半径と周期を求める｜リードα 第25章 基本問題436【高校物理】(章25, score=0.075); マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.057); 自由電子の運動モデルからオームの法則を導く｜リードα 第24章 基本問題408【高校物理】(章24, score=0.056); 磁場境界を出入りする粒子の滞在時間を求める｜リードα 第25章 応用問題441【高校物理】(章25, score=0.056); 2点電荷がつくる電場中で電荷を運ぶ仕事を求める｜リードα 第21章 基本問題368【高校物理】(章21, score=0.055)",低(要確認)
105,帯電した導体がつくる電場,電磁気,21章,"正三角形の頂点の2電荷がつくる電場を図示する｜リードα 第21章 基本問題362【高校物理】(章21, score=0.103); 2点電荷がつくる電場中で電荷を運ぶ仕事を求める｜リードα 第21章 基本問題368【高校物理】(章21, score=0.085); 正負2点電荷がつくる電場が0になる位置を求める｜リードα 第21章 基本問題361【高校物理】(章21, score=0.083); ガウスの法則で平面電荷がつくる電場と電位を導く｜リードα 第21章 基本問題363【高校物理】(章21, score=0.083)",低(要確認)
106,ブラウン管の原理,電磁気,20章・24章・25章,"マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.052); 自由電子の運動モデルからオームの法則を導く｜リードα 第24章 基本問題408【高校物理】(章24, score=0.051); 斜め入射した電子のらせん運動の周期を求める｜リードα 第25章 応用問題442【高校物理】(章25, score=0.051)",低(要確認)
109,ばね付きコンデンサー,電磁気,22章,"極板面積と間隔からコンデンサーの電気容量を求める｜リードα 第22章 基本問題375【高校物理】(章22, score=0.106); 金属板を部分的に差し込んだコンデンサーの容量を求める｜リードα 第22章 応用問題391【高校物理】(章22, score=0.103); 直列接続コンデンサーの合成容量と電気量を求める｜リードα 第22章 基本問題379【高校物理】(章22, score=0.091); 並列と直列接続時のコンデンサーの耐電圧を求める｜リードα 第22章 基本問題381【高校物理】(章22, score=0.091); 直列3つのコンデンサーの電圧配分から容量を求める｜リードα 第22章 基本問題376【高校物理】(章22, score=0.09)",低(要確認)
112,スイッチの切りかえによる電荷の移動,電磁気,24章,"スイッチとコンデンサー回路で移動電荷の向きを求める｜リードα 第24章 応用問題425【高校物理】(章24, score=0.103)",低(要確認)
114,4枚の導体板によるコンデンサー回路,電磁気,22章・24章,"スイッチとコンデンサー回路で移動電荷の向きを求める｜リードα 第24章 応用問題425【高校物理】(章24, score=0.104); スイッチ開閉時のコンデンサー回路の過渡電流を求める｜リードα 第24章 基本問題420【高校物理】(章24, score=0.104); 2つの電池を使った回路でコンデンサーの電気量を求める｜リードα 第22章 基本問題385【高校物理】(章22, score=0.088); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.088); 金属板を部分的に差し込んだコンデンサーの容量を求める｜リードα 第22章 応用問題391【高校物理】(章22, score=0.087)",低(要確認)
120,電球とダイオードを含む直流回路,電磁気,24章,"電球を含む回路で非直線抵抗の電流を求める｜リードα 第24章 基本問題419【高校物理】(章24, score=0.109); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.1)",低(要確認)
124,ハシゴ型に連結を増やしていく回路,電磁気,20章,"マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.047)",低(要確認)
126,電流が磁場から受ける力,電磁気,21章・25章,"磁場と角度をなす導体棒が受ける力を求める｜リードα 第25章 基本問題432【高校物理】(章25, score=0.118); 一様な電場内で陽イオンが受ける力を求める｜リードα 第21章 基本例題70【高校物理】(章21, score=0.098); 直交する2本の電流がつくる磁場と力を求める｜リードα 第25章 基本問題435【高校物理】(章25, score=0.094)",低(要確認)
127,一様な磁場内の荷電粒子の運動,電磁気,20章・21章・24章・25章,"一様な電場内で陽イオンが受ける力を求める｜リードα 第21章 基本例題70【高校物理】(章21, score=0.075); 磁場内を円運動する電子の半径と周期を求める｜リードα 第25章 基本問題436【高校物理】(章25, score=0.073); マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.055); 自由電子の運動モデルからオームの法則を導く｜リードα 第24章 基本問題408【高校物理】(章24, score=0.054); 磁場境界を出入りする粒子の滞在時間を求める｜リードα 第25章 応用問題441【高校物理】(章25, score=0.054)",低(要確認)
128,半導体とホール効果,電磁気,25章,"半導体を流れる電子のホール効果の電位差を求める｜リードα 第25章 応用問題443【高校物理】(章25, score=0.113)",低(要確認)
130,電磁場中の荷電粒子の運動,電磁気,20章・24章・25章・26章,"マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.048); 自由電子の運動モデルからオームの法則を導く｜リードα 第24章 基本問題408【高校物理】(章24, score=0.047); 磁場境界を出入りする粒子の滞在時間を求める｜リードα 第25章 応用問題441【高校物理】(章25, score=0.047); 磁場内を円運動する電子の半径と周期を求める｜リードα 第25章 基本問題436【高校物理】(章25, score=0.047); 磁場中を動く導体棒の電位差を求める｜リードα 第26章 基本例題88【高校物理】(章26, score=0.033)",低(要確認)
