num,分野,問題名,出典,難易度,趣旨,タイトル案,pdf_pages,thumb,ステータス,更新日時,intro
55,力学,2本のばねによる単振動,香川大 改,A,2本のばねにつながれた物体の単振動,2本のばねにつながれた物体の単振動｜物理重要問題集 力学 問55【高校物理】,65,rikigaku_問055.png,完成,2026-07-26 09:04,完成
56,力学,あらい面上で振動する物体の運動,23 横浜市大 改,A,あらい面上でのばね振り子の減衰運動,あらい面上でのばね振り子の減衰運動｜物理重要問題集 力学 問56【高校物理】,66,rikigaku_問056.png,完成,2026-07-26 09:04,完成
57,力学,ばねにつながれた物体との衝突,18 広島大,A,ばね振り子に衝突する物体の運動,ばね振り子に衝突する物体の運動｜物理重要問題集 力学 問57【高校物理】,67,rikigaku_問057.png,完成,2026-07-26 09:04,完成
58,力学,たてばねによる単振動,22 千葉大,A,鉛直に立てたばねによる単振動,鉛直に立てたばねによる単振動｜物理重要問題集 力学 問58【高校物理】,68-69,rikigaku_問058.png,完成,2026-07-26 09:04,完成
59,力学,単振り子,武蔵工大,A,単振り子の周期と張力を調べる,単振り子の周期と張力を調べる｜物理重要問題集 力学 問59【高校物理】,70-71,rikigaku_問059.png,完成,2026-07-26 09:04,完成
60,力学,浮力と単振動,20 福岡大,A,浮力を受けて浮く物体の単振動,浮力を受けて浮く物体の単振動｜物理重要問題集 力学 問60【高校物理】,72-73,rikigaku_問060.png,完成,2026-07-26 09:04,完成
61,力学,ばねに連結された2物体,佐賀大,A,ばねでつながれた2物体の単振動,ばねでつながれた2物体の単振動｜物理重要問題集 力学 問61【高校物理】,74,rikigaku_問061.png,完成,2026-07-26 09:04,完成
62,力学,地球のトンネル,23 東北大 改,A,地球を貫くトンネル内の物体の運動,地球を貫くトンネル内の物体の運動｜物理重要問題集 力学 問62【高校物理】,75-76,rikigaku_問062.png,完成,2026-07-26 09:04,完成
63,力学,ベルト上での物体の単振動,17 東北大,B,動くベルト上のばね振り子の単振動,動くベルト上のばね振り子の単振動｜物理重要問題集 力学 問63【高校物理】,77-78,rikigaku_問063.png,完成,2026-07-26 09:04,完成
64,熱,熱量の保存,16 岩手大,A,熱量計を用いて金属の比熱を求める,熱量計を用いて金属の比熱を求める｜物理重要問題集 熱 問64【高校物理】,1,netsu_問064.png,完成,2026-07-26 14:04,完成
65,熱,水の状態変化,15 近畿大,A,氷から水蒸気までの状態変化と加熱のようすを調べる,氷から水蒸気までの状態変化と加熱のようすを調べる｜物理重要問題集 熱 問65【高校物理】,2,netsu_問065.png,完成,2026-07-26 14:04,完成
66,熱,比熱と熱機関,25 防衛医大 改,A,燃料を燃焼させるエンジンの熱効率を求める,燃料を燃焼させるエンジンの熱効率を求める｜物理重要問題集 熱 問66【高校物理】,3,netsu_問066.png,完成,2026-07-26 14:04,完成
67,熱,熱気球,16 大阪工大,A,熱気球が浮き上がる仕組みを気体の状態方程式から考える,熱気球が浮き上がる仕組みを気体の状態方程式から考える｜物理重要問題集 熱 問67【高校物理】,4-5,netsu_問067.png,完成,2026-07-26 14:04,完成
68,熱,気体の混合,21 岩手大,A,コックでつながれた容器間の気体の混合を調べる,コックでつながれた容器間の気体の混合を調べる｜物理重要問題集 熱 問68【高校物理】,6-7,netsu_問068.png,完成,2026-07-26 14:04,完成
69,熱,気体分子の運動,24 大阪公大,A,気体分子の運動から圧力と内部エネルギーの関係を導く,気体分子の運動から圧力と内部エネルギーの関係を導く｜物理重要問題集 熱 問69【高校物理】,8-10,netsu_問069.png,完成,2026-07-26 14:04,完成
70,熱,気体の状態変化,22 電気通信大 改,A,傾けたガラス管内の気体の状態変化をくり返す過程を調べる,傾けたガラス管内の気体の状態変化をくり返す過程を調べる｜物理重要問題集 熱 問70【高校物理】,11,netsu_問070.png,完成,2026-07-26 14:04,完成
71,熱,ばね付きピストンで封じられた気体,18 東北学院大 改,A,ばねにつながれたピストンで封じた気体の状態変化を調べる,ばねにつながれたピストンで封じた気体の状態変化を調べる｜物理重要問題集 熱 問71【高校物理】,12,netsu_問071.png,完成,2026-07-26 14:04,完成
72,熱,気体の状態変化と熱効率,22 岐阜大,A,気体の循環過程を熱効率の立場から調べる,気体の循環過程を熱効率の立場から調べる｜物理重要問題集 熱 問72【高校物理】,13-14,netsu_問072.png,完成,2026-07-26 14:04,完成
73,熱,気体の状態変化と熱効率,19 神戸大 改,A,断熱変化を含む循環過程の熱効率を求める,断熱変化を含む循環過程の熱効率を求める｜物理重要問題集 熱 問73【高校物理】,15,netsu_問073.png,完成,2026-07-26 14:04,完成
74,熱,気体の状態変化,15 佐賀大 改,A,体積と温度のグラフから気体の循環過程を調べる,体積と温度のグラフから気体の循環過程を調べる｜物理重要問題集 熱 問74【高校物理】,16,netsu_問074.png,完成,2026-07-26 14:04,完成
75,熱,ピストンで封じられた気体,東京大,A,断面積が変わる容器内の気体の圧力変化を調べる,断面積が変わる容器内の気体の圧力変化を調べる｜物理重要問題集 熱 問75【高校物理】,17-18,netsu_問075.png,完成,2026-07-26 14:04,完成
76,熱,気体の状態変化と熱効率,弘前大,A,熱機関を利用したエレベータの熱効率を求める,熱機関を利用したエレベータの熱効率を求める｜物理重要問題集 熱 問76【高校物理】,19-20,netsu_問076.png,完成,2026-07-26 14:04,完成
77,熱,半透膜で仕切られた2種類の気体,22 東京大,B,半透膜で仕切られた2種類の気体のふるまいを調べる,半透膜で仕切られた2種類の気体のふるまいを調べる｜物理重要問題集 熱 問77【高校物理】,21-23,netsu_問077.png,完成,2026-07-26 14:04,完成
78,波動,正弦波の波形,香川大,A,波形のグラフから媒質の振動と合成波を調べる,波形のグラフから媒質の振動と合成波を調べる｜物理重要問題集 波動 問78【高校物理】,1-2,hadou_問078.png,完成,2026-07-26 14:04,完成
79,波動,正弦波の式と定在波,16 神戸大,A,入射波と反射波が重なってできる定在波を式で示す,入射波と反射波が重なってできる定在波を式で示す｜物理重要問題集 波動 問79【高校物理】,3,hadou_問079.png,完成,2026-07-26 14:04,完成
80,波動,円形波の反射,千葉工大,A,水面を伝わる円形波の反射と干渉を調べる,水面を伝わる円形波の反射と干渉を調べる｜物理重要問題集 波動 問80【高校物理】,4-5,hadou_問080.png,完成,2026-07-26 14:04,完成
81,波動,平面波の反射・屈折・干渉,19 埼玉大,A,水深が変わる境界での平面波の屈折と定在波を調べる,水深が変わる境界での平面波の屈折と定在波を調べる｜物理重要問題集 波動 問81【高校物理】,6-7,hadou_問081.png,完成,2026-07-26 14:04,完成
82,波動,水面波の反射と屈折,16 東京大,B,水深が異なる境界での波の反射と屈折を調べる,水深が異なる境界での波の反射と屈折を調べる｜物理重要問題集 波動 問82【高校物理】,8-9,hadou_問082.png,完成,2026-07-26 14:04,完成
83,波動,音波の干渉,25 東北学院大 改,A,クインケ管を使った音波の干渉から波長を求める,クインケ管を使った音波の干渉から波長を求める｜物理重要問題集 波動 問83【高校物理】,10,hadou_問083.png,完成,2026-07-26 14:04,完成
84,波動,弦の振動,帯広畜産大 改,A,おもりではった弦の固有振動を調べる,おもりではった弦の固有振動を調べる｜物理重要問題集 波動 問84【高校物理】,11-12,hadou_問084.png,完成,2026-07-26 14:04,完成
85,波動,気柱の共鳴,19 佐賀大 改,A,気柱の共鳴が起こる条件を振動数や管の長さから調べる,気柱の共鳴が起こる条件を振動数や管の長さから調べる｜物理重要問題集 波動 問85【高校物理】,13,hadou_問085.png,完成,2026-07-26 14:04,完成
86,波動,反射板がある場合のドップラー効果,19 京都府大,A,壁の反射を含むドップラー効果とうなりを調べる,壁の反射を含むドップラー効果とうなりを調べる｜物理重要問題集 波動 問86【高校物理】,14-15,hadou_問086.png,完成,2026-07-26 14:04,完成
87,波動,斜め方向のドップラー効果,19 関西大,A,斜め方向に進む音源が出す音のドップラー効果を導く,斜め方向に進む音源が出す音のドップラー効果を導く｜物理重要問題集 波動 問87【高校物理】,16-17,hadou_問087.png,完成,2026-07-26 14:04,完成
88,波動,エコーロケーションのしくみ,20 帯広畜産大,A,反射波を利用した位置測定のしくみをドップラー効果から調べる,反射波を利用した位置測定のしくみをドップラー効果から調べる｜物理重要問題集 波動 問88【高校物理】,18-19,hadou_問088.png,完成,2026-07-26 14:04,完成
89,波動,光の屈折,17 法政大 改,A,光ファイバー内を全反射で進む光の条件を調べる,光ファイバー内を全反射で進む光の条件を調べる｜物理重要問題集 波動 問89【高校物理】,20,hadou_問089.png,完成,2026-07-26 14:04,完成
90,波動,プリズムによる光の進路,25 関西学院大,A,プリズム内での光の反射と屈折の進み方を調べる,プリズム内での光の反射と屈折の進み方を調べる｜物理重要問題集 波動 問90【高校物理】,21-22,hadou_問090.png,完成,2026-07-26 14:04,完成
91,波動,組合せレンズ,17 長崎大,A,2枚のレンズを組み合わせたときの像と倍率を調べる,2枚のレンズを組み合わせたときの像と倍率を調べる｜物理重要問題集 波動 問91【高校物理】,23,hadou_問091.png,完成,2026-07-26 14:04,完成
92,波動,凹面鏡,15 筑波大(前期),A,凹面鏡による像の公式を近似を使って導く,凹面鏡による像の公式を近似を使って導く｜物理重要問題集 波動 問92【高校物理】,24-26,hadou_問092.png,完成,2026-07-26 14:04,完成
93,波動,ヤングの実験,21 山形大 改,A,ヤングの実験による光の干渉縞を調べる,ヤングの実験による光の干渉縞を調べる｜物理重要問題集 波動 問93【高校物理】,27-28,hadou_問093.png,完成,2026-07-26 14:04,完成
94,波動,回折格子,22 岡山大,A,回折格子による光の干渉から明線の位置を求める,回折格子による光の干渉から明線の位置を求める｜物理重要問題集 波動 問94【高校物理】,29-30,hadou_問094.png,完成,2026-07-26 14:04,完成
95,波動,薄膜による光の干渉,17 大阪府大 改,A,薄膜の上下面で反射した光の干渉条件を調べる,薄膜の上下面で反射した光の干渉条件を調べる｜物理重要問題集 波動 問95【高校物理】,31-32,hadou_問095.png,完成,2026-07-26 14:04,完成
96,波動,くさび形領域による光の干渉,佐賀大 改,A,くさび形の空気層による光の干渉縞を調べる,くさび形の空気層による光の干渉縞を調べる｜物理重要問題集 波動 問96【高校物理】,33-34,hadou_問096.png,完成,2026-07-26 14:04,完成
97,波動,ニュートンリング,21 千葉大 改,A,平凸レンズと平面ガラスの間の干渉でできる同心円状の模様を調べる,平凸レンズと平面ガラスの間の干渉でできる同心円状の模様を調べる｜物理重要問題集 波動 問97【高校物理】,35-36,hadou_問097.png,完成,2026-07-26 14:04,完成
98,波動,マイケルソン干渉計,24 横浜市大 改,A,干渉計を使って光路差や気体の屈折率を求める,干渉計を使って光路差や気体の屈折率を求める｜物理重要問題集 波動 問98【高校物理】,37-38,hadou_問098.png,完成,2026-07-26 14:04,完成
99,波動,ピンホールカメラによる像のぼやけ幅,22 名古屋工大 改,B,ピンホールの大きさと像のぼやけの関係を回折から調べる,ピンホールの大きさと像のぼやけの関係を回折から調べる｜物理重要問題集 波動 問99【高校物理】,39-41,hadou_問099.png,完成,2026-07-26 14:04,完成
100,電磁気,箔検電器,23 茨城大 改,A,箔検電器のはくの開閉から帯電のようすを調べる,箔検電器のはくの開閉から帯電のようすを調べる｜物理重要問題集 電磁気 問100【高校物理】,1-2,denjiki_問100.png,完成,2026-07-26 14:04,完成
101,電磁気,帯電した平面による電場,信州大 改,A,帯電した平面がつくる電場を調べる,帯電した平面がつくる電場を調べる｜物理重要問題集 電磁気 問101【高校物理】,3,denjiki_問101.png,完成,2026-07-26 14:04,完成
102,電磁気,静電気力がする仕事,静岡大,A,静電気力が点電荷にする仕事を求める,静電気力が点電荷にする仕事を求める｜物理重要問題集 電磁気 問102【高校物理】,4,denjiki_問102.png,完成,2026-07-26 14:04,完成
103,電磁気,電場と電位,22 筑波大(前期),A,座標平面上の点電荷がつくる電場と電位を調べる,座標平面上の点電荷がつくる電場と電位を調べる｜物理重要問題集 電磁気 問103【高校物理】,5-6,denjiki_問103.png,完成,2026-07-26 14:04,完成
104,電磁気,荷電粒子の運動,22 電気通信大,A,電場中を運動する荷電粒子の運動を調べる,電場中を運動する荷電粒子の運動を調べる｜物理重要問題集 電磁気 問104【高校物理】,7,denjiki_問104.png,完成,2026-07-26 14:04,完成
105,電磁気,帯電した導体がつくる電場,20 関西大,A,帯電した導体のまわりにできる電場を調べる,帯電した導体のまわりにできる電場を調べる｜物理重要問題集 電磁気 問105【高校物理】,8-9,denjiki_問105.png,完成,2026-07-26 14:04,完成
106,電磁気,ブラウン管の原理,16 立命館大,A,ブラウン管内での荷電粒子の運動の原理を調べる,ブラウン管内での荷電粒子の運動の原理を調べる｜物理重要問題集 電磁気 問106【高校物理】,10-11,denjiki_問106.png,完成,2026-07-26 14:04,完成
107,電磁気,電気力線,東京大,B,点電荷がつくる電気力線のようすを調べる,点電荷がつくる電気力線のようすを調べる｜物理重要問題集 電磁気 問107【高校物理】,12,denjiki_問107.png,完成,2026-07-26 14:04,完成
108,電磁気,コンデンサーの合成容量,群馬大,A,複数のコンデンサーを組み合わせた合成容量を求める,複数のコンデンサーを組み合わせた合成容量を求める｜物理重要問題集 電磁気 問108【高校物理】,13,denjiki_問108.png,完成,2026-07-26 14:04,完成
109,電磁気,ばね付きコンデンサー,15 広島市大 改,A,ばねで支えられた極板をもつコンデンサーのつりあいを調べる,ばねで支えられた極板をもつコンデンサーのつりあいを調べる｜物理重要問題集 電磁気 問109【高校物理】,14,denjiki_問109.png,完成,2026-07-26 14:04,完成
110,電磁気,極板間の電場と電位,大阪府大,A,コンデンサーの極板間の電場と電位を求める,コンデンサーの極板間の電場と電位を求める｜物理重要問題集 電磁気 問110【高校物理】,15-16,denjiki_問110.png,完成,2026-07-26 14:04,完成
111,電磁気,コンデンサーの極板が受ける力,25 和歌山県医大,A,コンデンサーの極板どうしにはたらく力を求める,コンデンサーの極板どうしにはたらく力を求める｜物理重要問題集 電磁気 問111【高校物理】,17-18,denjiki_問111.png,完成,2026-07-26 14:04,完成
112,電磁気,スイッチの切りかえによる電荷の移動,17 大阪市大,A,スイッチの切りかえによる電荷の移動を調べる,スイッチの切りかえによる電荷の移動を調べる｜物理重要問題集 電磁気 問112【高校物理】,19,denjiki_問112.png,完成,2026-07-26 14:04,完成
113,電磁気,ダイオードを含むコンデンサー回路とつなぎかえ,24 芝浦工大,A,ダイオードを含むコンデンサー回路のつなぎかえを調べる,ダイオードを含むコンデンサー回路のつなぎかえを調べる｜物理重要問題集 電磁気 問113【高校物理】,20,denjiki_問113.png,完成,2026-07-26 14:04,完成
114,電磁気,4枚の導体板によるコンデンサー回路,東京理大 改,B,複数の導体板を組み合わせたコンデンサー回路を調べる,複数の導体板を組み合わせたコンデンサー回路を調べる｜物理重要問題集 電磁気 問114【高校物理】,21-22,denjiki_問114.png,完成,2026-07-26 14:04,完成
115,電磁気,導体中の自由電子の運動,24 佐賀大,A,導体中を運動する自由電子から電流を調べる,導体中を運動する自由電子から電流を調べる｜物理重要問題集 電磁気 問115【高校物理】,23,denjiki_問115.png,完成,2026-07-26 14:04,完成
